Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Sebastian Szalay,"5' 6""","66.0""",10,2,0,41%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartosz Szewczyk,"6' 4""","73.0""",8,3,1,33%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Tadevosyan,0,0,13,3,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Tafa,"6' 0""","74.0""",7,5,0,54%,47%,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
Junior Tafa,"6' 3""","75.0""",6,5,0,51%,51%,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Khalid Taha,"5' 5""","69.0""",13,5,0,32%,46%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Tatsuro Taira,"5' 7""","70.0""",18,1,0,60%,47%,0.0,2.0,3.0,3.0,1.0,5.0,2.0,0.0,0.0
Mairbek Taisumov,"5' 9""","73.0""",27,6,0,39%,64%,0.0,2.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0
Taiyilake Nueraji,"6' 2""","75.0""",12,1,0,53%,58%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Payton Talbott,"5' 10""","70.0""",11,1,0,56%,46%,0.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0
Murtaza Talha,"6' 0""","74.0""",7,2,0,57%,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michinori Tanaka,"5' 5""","67.0""",11,3,0,37%,50%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kasey Tanner,"5' 7""","69.0""",6,1,0,50%,63%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otari Tanzilovi,"5' 10""","70.0""",9,1,0,72%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regina Tarin,"5' 7""","66.0""",8,0,0,47%,57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Miesha Tate,"5' 6""","65.0""",20,10,0,44%,51%,0.0,4.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0
Aaron Tau,"5' 4""","66.0""",11,1,0,44%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Tavares,"6' 1""","74.0""",21,12,0,43%,54%,0.0,14.0,2.0,0.0,1.0,0.0,15.0,0.0,0.0
Ramon Taveras,"5' 8""","70.0""",10,4,0,43%,54%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Torrance Taylor,"5' 7""",0,13,8,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danielle Taylor,"5' 0""","60.0""",9,4,0,29%,71%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cam Teague,"5' 10""","69.0""",9,2,0,28%,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shawn Teed,"6' 5""",0,5,2,0,42%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Teixeira,"5' 7""",0,21,2,2,35%,63%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tallison Teixeira,"6' 7""","83.0""",9,1,0,64%,42%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Ramazan Temirov,"5' 4""","63.0""",19,3,0,40%,59%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Taneisha Tennant,"5' 7""","70.0""",5,1,0,55%,71%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herman Terrado,0,0,15,3,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Teymur,"5' 9""","73.0""",8,2,0,43%,55%,0.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0
Daniel Teymur,"5' 5""","69.0""",7,4,0,46%,56%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alexia Thainara,"5' 4""","67.0""",13,1,0,40%,65%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Elias Theodorou,"6' 1""","75.0""",16,3,0,42%,53%,0.0,6.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0
Colby Thicknesse,"5' 7""","69.0""",8,1,0,42%,50%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Isaac Thomson,"5' 10""","69.0""",9,3,0,44%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nolan Ticman,"5' 6""",0,4,3,0,47%,67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Till,"6' 0""","74.0""",18,5,1,46%,56%,0.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0
Rio Tirto,"5' 4""","66.0""",8,1,0,0%,69%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Tiuliulin,"6' 1""","77.0""",10,10,0,41%,38%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Rafael Tobias,"6' 2""","74.0""",14,2,0,36%,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Todhunter,"6' 0""",0,8,0,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusko Todorovic,"6' 1""","74.0""",13,6,0,57%,48%,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0
Tuco Tokkos,"6' 4""","76.0""",11,5,0,40%,46%,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Anatoly Tokov,"5' 10""",0,25,2,0,72%,66%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazuki Tokudome,"5' 11""","73.0""",18,7,1,41%,53%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Puja Tomar,"5' 4""","59.0""",9,5,0,48%,46%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ilia Topuria,"5' 7""","69.0""",17,0,0,48%,64%,0.0,2.0,6.0,1.0,3.0,3.0,2.0,0.0,1.0
Aleksandre Topuria,"5' 7""","68.0""",7,1,0,55%,68%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alex Torres,"5' 10""",0,5,4,0,37%,69%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Torres,"5' 4""","65.0""",8,1,0,36%,50%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Desmond Torres,"5' 6""","69.0""",7,2,0,64%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Torres,"5' 10""","73.0""",17,3,0,59%,54%,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0
Justice Torres,"5' 7""","66.0""",12,4,0,22%,53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Torres Caut,"5' 7""","70.0""",16,2,0,34%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salim Touahri,"5' 10""","72.0""",10,4,0,46%,58%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slim Trabelsi,"6' 3""",0,5,0,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelo Trevino,"5' 11""",0,7,3,0,54%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Trizano,"5' 11""","71.0""",11,3,0,53%,50%,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Antonio Trocoli,"6' 5""","80.0""",12,6,0,50%,24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arman Tsarukyan,"5' 7""","72.0""",23,3,0,50%,54%,0.0,5.0,4.0,1.0,2.0,2.0,6.0,0.0,0.0
Rei Tsuruya,"5' 6""","68.0""",10,1,0,52%,42%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tai Tuivasa,"6' 2""","75.0""",15,9,0,48%,43%,0.0,1.0,7.0,0.0,5.0,2.0,1.0,0.0,0.0
Zubaira Tukhugov,"5' 8""","68.0""",20,6,1,39%,63%,0.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
Marco Tulio,"6' 0""","74.0""",14,2,0,58%,59%,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Nyamjargal Tumendemberel,"5' 7""","71.0""",10,1,0,42%,53%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Albert Tumenov,"5' 11""","73.0""",18,4,0,42%,58%,0.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
Ricky Turcios,"5' 9""","71.0""",13,6,0,39%,51%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Anton Turkalj,"6' 4""","78.0""",8,4,0,42%,54%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellington Turman,"6' 0""","72.0""",18,8,0,51%,45%,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Jalin Turner,"6' 3""","77.0""",15,9,0,48%,41%,0.0,0.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0
Austin Tweedy,"5' 9""",0,8,2,0,66%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphael Uchegbu,"5' 9""","73.0""",10,2,0,48%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takeru Uchida,"5' 5""","68.0""",6,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tagir Ulanbekov,"5' 7""","70.0""",17,3,0,48%,50%,0.0,4.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0
Carlos Ulberg,"6' 4""","77.0""",14,1,0,55%,51%,0.0,3.0,5.0,1.0,5.0,0.0,4.0,0.0,0.0
Logan Urban,"6' 0""","72.0""",5,1,0,66%,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector Urbina,"5' 11""","73.0""",17,10,1,38%,39%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Elias Urbina,"6' 3""","77.0""",3,1,0,37%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Urbina,"6' 3""","75.0""",7,5,0,56%,44%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Guilherme Uriel,"6' 1""","74.0""",6,2,0,43%,22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sho Patrick Usami,"5' 9""","70.0""",4,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamaru Usman,"6' 0""","76.0""",21,4,0,51%,55%,0.0,11.0,4.0,1.0,1.0,2.0,6.0,0.0,7.0
Mohammed Usman,"6' 2""","79.0""",12,4,0,39%,51%,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
Rashid Vagabov,"5' 7""","63.0""",14,2,0,38%,67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artem Vakhitov,"6' 1""","75.0""",3,1,0,85%,80%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genaro Valdez,"5' 9""","72.0""",10,3,0,30%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Valentin,"6' 2""","77.0""",11,6,0,56%,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Valenzuela,"6' 2""","77.0""",8,2,0,0%,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Valenzuela,"5' 9""","71.0""",12,4,0,33%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timur Valiev,"5' 6""","67.0""",18,3,0,53%,45%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Andrew Valladerez,0,0,5,7,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Vallejos,"5' 7""","68.0""",17,1,0,46%,56%,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
Joshua Van,"5' 5""","65.0""",16,2,0,56%,57%,0.0,6.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0
Alain Van der Merckt,0,0,8,0,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron VanCamp,"6' 2""","74.0""",15,7,1,47%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Vanderaa,"6' 4""","80.0""",12,10,0,44%,45%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Austin Vanderford,"5' 11""","74.0""",13,3,0,59%,48%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lando Vannata,"5' 9""","71.0""",12,7,2,45%,55%,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Paige VanZant,"5' 4""","65.0""",8,5,0,52%,42%,0.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0
Manny Vazquez,"5' 10""","72.0""",11,2,0,41%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianni Vazquez,"5' 7""","71.0""",13,5,1,22%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Velasco,"5' 9""",0,2,1,0,35%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Velasco,"6' 2""","70.0""",6,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan Velickovic,"6' 0""","76.0""",15,6,1,34%,57%,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Luigi Vendramini,"5' 8""","73.0""",9,3,0,40%,57%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Marlon Vera,"5' 8""","70.0""",23,12,1,47%,50%,0.0,4.0,7.0,4.0,3.0,4.0,6.0,1.0,1.0
Carlos Vera,"5' 6""","69.0""",12,4,0,57%,49%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Isis Verbeek,"5' 4""","64.0""",5,2,0,43%,53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikolay Veretennikov,"6' 1""","74.0""",14,7,0,56%,45%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
CJ Vergara,"5' 6""","68.0""",12,7,1,56%,53%,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Marvin Vettori,"6' 0""","74.0""",19,10,1,45%,56%,0.0,7.0,0.0,2.0,2.0,0.0,4.0,0.0,3.0
Polyana Viana,"5' 5""","67.0""",13,8,0,40%,53%,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0
James Vick,"6' 3""","76.0""",13,5,0,39%,60%,0.0,4.0,2.0,3.0,3.0,1.0,5.0,0.0,0.0
Tamires Vidal,"5' 6""","68.0""",7,4,0,53%,49%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Freddy Vidal,"6' 3""","80.0""",4,1,0,66%,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ketlen Vieira,"5' 8""","68.0""",15,5,0,40%,50%,0.0,8.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0
Rodolfo Vieira,"6' 0""","73.0""",11,4,0,53%,49%,0.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0
Armando Villarreal,"5' 7""","66.0""",5,2,0,55%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Villaseca,"5' 7""",0,12,3,0,42%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuri Villefort,"6' 0""","73.0""",10,5,0,43%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre'ston Vines,"6' 1""","79.0""",10,4,0,0%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheyanne Vlismas,"5' 3""","63.0""",7,3,0,50%,64%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Mateo Vogel,"5' 8""","71.0""",8,3,0,46%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danylo Voievodkin,"6' 4""","78.0""",7,0,0,46%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Volkanovski,"5' 6""","71.0""",28,4,0,57%,58%,0.0,10.0,5.0,0.0,0.0,3.0,5.0,1.0,6.0
Alexander Volkov,"6' 7""","80.0""",39,11,0,57%,53%,0.0,6.0,6.0,1.0,2.0,3.0,7.0,1.0,0.0
Mark Vologdin,"5' 3""","65.0""",12,4,1,52%,34%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Vucenic,"5' 10""","73.0""",13,4,0,45%,58%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wade,"5' 10""","70.0""",12,3,0,53%,51%,0.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0
TJ Waldburger,"5' 11""","75.0""",16,9,0,51%,40%,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
Chase Waldon,"6' 1""","75.0""",11,2,0,28%,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Walker,"6' 6""","82.0""",22,9,0,55%,45%,0.0,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0
Brogan Walker,"5' 4""","67.0""",8,5,0,32%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valter Walker,"6' 6""","78.0""",15,1,0,52%,42%,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
Julius Walker,"6' 4""","78.0""",7,2,0,53%,43%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ben Wall,"5' 10""",0,8,7,1,29%,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Wallace,"5' 9""",0,4,6,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randall Wallace,"5' 11""","73.0""",15,6,0,38%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wallace,"5' 10""","69.0""",5,2,0,28%,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Walsh,"6' 0""","73.0""",9,5,0,46%,58%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Patrick Walsh,"5' 11""",0,10,3,0,19%,64%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anying Wang,"6' 0""",0,2,1,0,26%,44%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Wang Cong,"5' 6""","66.0""",9,1,0,56%,63%,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Joshua Wang-Kim,"5' 9""","71.0""",5,2,0,40%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brennan Ward,"5' 10""","71.0""",14,5,0,60%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idris Wasi,"6' 0""",0,2,14,0,31%,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Waters,"6' 1""","79.0""",9,5,0,23%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Waters,"6' 5""","77.0""",9,2,0,44%,55%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Brok Weaver,"6' 0""","73.0""",15,6,0,64%,46%,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jonavin Webb,"5' 10""",0,9,2,0,30%,64%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royston Wee,"5' 7""","67.0""",4,1,0,60%,49%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Darian Weeks,"5' 11""","72.0""",5,3,0,51%,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Weems,"5' 8""","69.0""",11,3,0,64%,61%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Wellmaker,"5' 10""","71.0""",10,1,0,56%,52%,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Jeremiah Wells,"5' 9""","74.0""",13,4,1,46%,48%,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
Alex White,"6' 0""","71.0""",13,6,0,42%,60%,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
Craig White,"6' 2""","76.0""",14,9,0,40%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrik White,"6' 0""","72.0""",9,2,0,49%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emily Whitmire,"5' 5""","63.0""",4,5,0,31%,54%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Robert Whittaker,"6' 0""","73.0""",27,9,0,43%,59%,0.0,11.0,6.0,0.0,3.0,2.0,8.0,0.0,4.0
Josh Wick,"5' 9""","69.0""",12,6,0,60%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Wieczorek,"6' 5""","81.0""",10,2,0,38%,48%,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Jakub Wiklacz,"5' 10""","72.0""",18,3,2,44%,46%,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Aaron Wilkinson,"5' 10""",0,11,7,0,0%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Wilkinson,"5' 7""","66.0""",9,4,0,38%,35%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Rob Wilkinson,"6' 3""","80.0""",11,2,0,50%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Williams,"6' 1""","75.0""",9,6,0,50%,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaos Williams,"6' 0""","77.0""",15,5,0,39%,40%,0.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0
Karl Williams,"6' 3""","79.0""",10,2,0,48%,55%,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Justin Willis,"6' 1""","78.0""",8,2,0,59%,57%,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Greg Wilson,0,0,2,3,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Wilson,"6' 2""","75.0""",7,3,0,48%,56%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Westin Wilson,"6' 1""","73.0""",17,10,0,31%,30%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Damon Wilson,"5' 9""","69.0""",9,3,0,49%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deron Winn,"5' 6""","70.0""",7,3,0,44%,46%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jason Witt,"5' 10""","70.0""",19,9,0,44%,52%,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Karolina Wojcik,"5' 2""",0,9,2,0,65%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwon Wonil,"5' 10""","71.0""",14,6,0,39%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Wood,"5' 6""","69.0""",22,6,0,52%,54%,0.0,7.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0
Val Woodburn,"5' 8""","74.0""",7,2,0,35%,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Woods,0,0,5,1,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Woodson,"6' 2""","78.0""",13,2,1,46%,58%,0.0,5.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0
Khama Worthy,"5' 11""","74.0""",16,9,0,48%,46%,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Justin Wren,"6' 2""",0,13,2,0,35%,64%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Wright,"6' 2""","77.0""",12,5,0,56%,31%,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Marcin Wrzosek,"5' 9""",0,12,4,0,43%,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wu Yanan,"5' 8""","66.0""",13,6,0,41%,49%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Wulijiburen,"5' 9""","69.0""",20,9,0,42%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wuziazibieke Jiahefu,"5' 9""","70.0""",29,12,1,50%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xiao Long,"5' 8""","70.0""",27,11,0,47%,50%,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Xie Bin,"5' 10""","72.0""",13,5,0,43%,60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Yahya,"5' 9""","73.0""",12,6,0,39%,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Rakhman Yakhyaev,"6' 2""","78.0""",8,0,0,78%,75%,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Goiti Yamauchi,"5' 10""",0,21,3,0,54%,66%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wataru Yamauchi,"5' 6""","68.0""",7,2,0,52%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yan Xiaonan,"5' 5""","63.0""",19,5,0,45%,60%,0.0,8.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0
Petr Yan,"5' 7""","67.0""",20,5,0,54%,59%,0.0,8.0,4.0,0.0,1.0,1.0,6.0,0.0,4.0
Yan Qihui,"5' 3""","62.0""",25,5,0,46%,54%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Yandiev,"5' 9""","74.0""",9,1,0,8%,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Yanez,"5' 7""","70.0""",17,6,0,41%,54%,0.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,0.0
Jianping Yang,"5' 7""",0,11,4,1,26%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Yannis,"5' 7""","70.0""",9,4,0,0%,71%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cale Yarbrough,"6' 1""",0,8,3,0,27%,72%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yibugele,"5' 7""","69.0""",24,13,1,41%,54%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
