Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Elise Reed,"5' 3""","63.0""",8,5,0,53%,51%,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Zach Reese,"6' 4""","77.0""",10,3,0,54%,43%,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
Stephen Regman,"5' 11""","76.0""",9,4,0,60%,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Reiter,"6' 3""",0,17,2,1,46%,54%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ren Yawei,"5' 9""","69.0""",9,4,0,64%,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Renato Junior,"6' 0""","73.0""",12,3,0,45%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chance Rencountre,"6' 2""","75.0""",14,4,0,20%,49%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Montse Rendon,"5' 8""","68.0""",7,1,0,28%,59%,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Solomon Renfro,"5' 9""","72.0""",8,2,0,44%,61%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominick Reyes,"6' 4""","77.0""",15,5,0,54%,49%,0.0,2.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0
Alex Reyes,"5' 11""","73.0""",13,5,0,46%,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Reyes,"5' 7""","73.0""",23,5,0,55%,47%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Victor Reyna,"5' 11""","74.0""",11,5,0,63%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaston Reyno,"6' 0""",0,6,2,0,62%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Rhodes,"6' 1""","74.0""",10,5,0,39%,64%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucrezia Ria,"5' 6""",0,8,2,0,46%,45%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amanda Ribas,"5' 4""","66.0""",13,7,0,39%,60%,0.0,4.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0
Claudio Ribeiro,"6' 1""","77.0""",11,5,0,51%,30%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Brendson Ribeiro,"6' 3""","81.0""",17,9,0,42%,53%,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Esteban Ribovics,"5' 10""","69.0""",15,2,0,43%,54%,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
